Tue,  9.8.;Jägermeister;14:15;14:15;SABLE HILLS;Melodic Metalcore;JP;2015
Wed, 10.8.;Jägermeister;12:00;12:00;SCELETONS;Thrash / Death Metal;CZ;~2016
Thu, 11.8.;Jägermeister;10:30;10:30;THE DEVIL'S TRADE;Post-Metal / Dark Folk;HU;
Tue,  9.8.;Sea Shepherd;14:55;14:55;SLOPE;Hardcore Punk / Crossover;DE;2014
Wed, 10.8.;Sea Shepherd;12:40;12:40;ELBE;Doom Metal / Post-Rock;CZ;2017
Thu, 11.8.;Sea Shepherd;11:05;11:05;EXCREMENTORY GRINDFUCKERS;Grindcore;DE;2001
Fri, 12.8.;Sea Shepherd;10:30;10:30;CARNATION;Death Metal;BE;2013
Sat, 13.8.;Sea Shepherd;10:30;10:30;STELLARIS;Modern Metal / Djent / Metalcore;CZ;2019
Tue,  9.8.;Jägermeister;15:35;15:35;DEVOURMENT;Slamming Brutal Death;US;1995
Wed, 10.8.;Jägermeister;13:20;13:20;DARKEST HOUR;Metalcore / Melodic Death Metal;US;1995
Thu, 11.8.;Jägermeister;11:40;11:40;PHLEBOTOMIZED;Progressive Death / Doom Metal;NL;1989
Fri, 12.8.;Jägermeister;11:05;11:05;AVIANA;Progressive Metalcore / Djent;SE;2016
Sat, 13.8.;Jägermeister;11:05;11:05;MASS INFECTION;Death Metal;GR;2003
Tue,  9.8.;Sea Shepherd;16:20;16:20;BLOODYWOOD;Ethno Nu Metal / Metalcore;IN;2016
Wed, 10.8.;Sea Shepherd;14:05;14:05;EVERGREEN TERRACE;Melodic Hardcore-Punk;US;1999
Thu, 11.8.;Sea Shepherd;12:20;12:20;GODLESS TRUTH;Technical Death Metal;CZ;1994
Fri, 12.8.;Sea Shepherd;11:40;11:40;STAKE;Grunge / Post-Metal / Alternative Metal;BE;2004
Sat, 13.8.;Sea Shepherd;11:40;11:40;URNE;Progressive Metal / Thrashy Sludge;UK;2016
Tue,  9.8.;Jägermeister;17:10;17:10;THY CATAFALQUE;Avant-Garde Metal;HU;1998
Wed, 10.8.;Jägermeister;14:50;14:50;HEATHEN;Thrash Metal;US;1984
Thu, 11.8.;Jägermeister;13:00;13:00;BAEST;Death Metal;DK;2015
Fri, 12.8.;Jägermeister;12:15;12:15;ABBIE FALLS;Metalcore / Deathcore;CZ;
Sat, 13.8.;Jägermeister;12:15;12:15;HIDEOUS DIVINITY;Death Metal;IT/NO;2006
Tue,  9.8.;Sea Shepherd;18:05;18:05;RIVERS OF NIHIL;Progressive Death Metal;US;2009
Wed, 10.8.;Sea Shepherd;15:40;15:40;LORNA SHORE;Blackened Symphonic Deathcore;US;2010
Thu, 11.8.;Sea Shepherd;13:40;13:40;ONSLAUGHT;Thrash Metal;UK;1982
Fri, 12.8.;Sea Shepherd;12:55;12:55;ARTILLERY;Thrash Metal;DK;1982
Sat, 13.8.;Sea Shepherd;12:55;12:55;PSYKUP;Experimental Rock / Metal;FR;1995
Tue,  9.8.;Jägermeister;19:00;19:00;CLUTCH;Stoner / Southern Rock;US;1991
Wed, 10.8.;Jägermeister;16:35;16:35;BLOODBATH;Death Metal;SE;1998
Thu, 11.8.;Jägermeister;14:25;14:25;BUTCHER BABIES;Groove / Thrash / Alternative Metal;US;2009
Fri, 12.8.;Jägermeister;13:40;13:40;NUNSLAUGHTER;Death / Black / Thrash Metal;US;1987
Sat, 13.8.;Jägermeister;13:40;13:40;GOROD;Technical / Progressive Death Metal;FR;1997
Tue,  9.8.;Sea Shepherd;19:50;19:50;VOLA;Experimental Rock / Progressive Metal;DK;2006
Wed, 10.8.;Sea Shepherd;17:30;17:30;TESSERACT;Progressive Metal / Djent;UK;2003
Thu, 11.8.;Sea Shepherd;15:10;15:10;ABORTED;Death Metal / Grindcore;BE;1995
Fri, 12.8.;Sea Shepherd;14:20;14:20;FAÜST;Thrash Metal / Rock'n'roll;DE;1970
Sat, 13.8.;Sea Shepherd;14:25;14:25;HAEMORRHAGE;Goregrind / Grindcore;ES;1990
Tue,  9.8.;Jägermeister;20:45;20:45;VIO-LENCE;Thrash Metal;US;1985
Wed, 10.8.;Jägermeister;18:30;18:30;ALCEST;Blackgaze;FR;2000
Thu, 11.8.;Jägermeister;16:00;16:00;LOST SOCIETY;Thrash Metal / Groove;FI;2010
